Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Jumat lalu adalah balapan pertama Tad Dunkin di nascar.,Dia telah menunggu ini sepanjang hidupnya.,Dia melakukannya dengan sangat baik untuk pengatur waktu pertama.,Kemudian dia kehilangan kendali dan menabrak dinding.,Tad terluka parah.,Mobil Tad dalam kondisi sangat baik.
Tara lebih menyukai musik big band daripada semua alternatif.,Dia menyukai semua tanduk dan instrumen kuningan lainnya yang terlibat.,Dia berusaha mencari sesama pecinta big band.,Usahanya sia-sia.,Tara masih menikmati mendengarkan sendiri!,Tara adalah gadis yang kejam.
Ella menghabiskan satu hari di bawah sinar matahari.,Dia lupa mengoleskan tabir surya.,Dia mengalami luka bakar yang parah!,Tapi segera memudar dan berubah menjadi cokelat.,Ella tampak hebat dan mendapat banyak pujian.,Ella menghabiskan hari berikutnya di tengah hujan.
Saya mulai bermain catur dengan teman saya Tim pada tahun 2000.,Saya membeli satu set turnamen dan jam.,"Kami membuat rencana untuk pergi ke turnamen, tapi Tim jatuh sakit.",Saya pergi dan memenangkan lima pertandingan.,Tim senang untukku.,Tim merasa senang.
Kemarin saya memainkan permainan Powerball.,Saya mengambil nomor saya dari Alkitab keluarga kami.,Saya membeli tiket saya dari agen lotere online terkemuka.,Saya berdoa dengan gugup saat nomor pemenang diundi.,Saya tidak menang.,Saya kecewa saat menang.
Kakek bertanya pada Betty apakah dia ingin minum.,Betty bilang dia ingin susu.,Kakek tidak tahu apakah dia menginginkan cokelat atau stroberi.,Betty tidak mau memberi tahu susu jenis apa yang diinginkannya.,Betty pemalu.,Betty senang berbagi pendapatnya.
Putri saya mengadakan baby shower di rumah Boston kami.,Dia mengundang teman dan keluarga di daerah itu.,Teman sekamar kuliah lamanya tinggal di Hawaii.,Dia memutuskan untuk mengejutkan putri saya dengan terbang sejauh 4800 mil.,Putri saya sangat senang.,Putriku kecewa.
Anna akan memiliki adik bayi.,Ibunya pergi ke rumah sakit dan Anna berharap.,"Dia benar-benar menginginkan seorang adik perempuan, tetapi bukan seorang saudara laki-laki!","Ketika ibunya pulang dengan bayinya, Anna sangat gembira.",Bayi baru itu perempuan.,Bayi yang baru lahir itu laki-laki.
Kami punya lalat buah di rumah kami tahun lalu.,Kami mencari berbagai perawatan.,Kami mencoba anggur merah dalam mangkuk.,"Ketika itu tidak berhasil, kami membeli jebakan khusus.",Kami bahkan bisa melihat jebakan bekerja.,Kami mengeluarkan lebih banyak mangkuk anggur merah setelah hasil yang kami lihat.
Mary Ann berjalan-jalan di jalan setapak di taman.,Dia melewati orang-orang dengan anak-anak dan hewan.,Dia melewati orang-orang yang sedang joging dan mengendarai sepeda.,Dia melihat banyak tanaman.,Mary Ann mendapat ruam dari salah satunya karena itu poison ivy.,Mary Ann selesai membuat saladnya dan menikmati memakannya.
Robert dan Sharon bertemu di kamp band ketika mereka masih di sekolah menengah.,Pada saat mereka lulus mereka memiliki rencana untuk menikah.,Sekarang mereka sedang menantikan cicit pertama mereka.,Sharon tidak percaya begitu banyak waktu berlalu begitu cepat.,Tapi dia bahagia hari ini seperti saat mereka bertemu.,Dia mengajukan gugatan cerai keesokan harinya.
Jane menyukai sepatu hak tinggi barunya.,Dia ingin memakainya.,Dia memakainya untuk menari ke klub.,"Dalam beberapa menit, kakinya terlalu sakit.",Jane menari dengan kaki telanjang dan meninggalkan sepatunya di dompet.,Jane sangat ingin memulai sekolah tap.
"Amy, Lynn dan Kim berjalan ke toko dekat rumah Lynn.",Sementara di sana mereka melihat Jim yang naksir Lynn.,Dia adalah seorang anak tas di toko.,Mereka berhenti dan berbicara dengannya sebentar.,Jim mengajak Lynn berkencan.,Lynn memberi tahu Jim bahwa dia tidak menarik.
Ayah saya baru saja mendapatkan mobil baru.,"Untuk merayakannya, kami semua pergi jalan-jalan.",Mobil lain menabrak tanda berhenti dan menabrak kami.,Saya memukul jendela cukup keras untuk memecahkannya.,Saya turun dan saya serta ayah saya baik-baik saja.,Kami berdua diratakan oleh kendaraan.
Francisco sangat bersemangat untuk menjadi seorang akuntan suatu hari nanti.,Dia tahu bahwa dia harus bekerja keras untuk mencapai impian itu.,Ia belajar akuntansi di universitas setempat.,Dia lulus semua ujiannya!,Francisco menjadi seorang akuntan.,Francisco menjadi tukang ledeng.
Guru Johnny memperlakukan kelas itu dengan kerucut salju buatan sendiri.,Guru mempersilakan setiap siswa memilih topping sirup berwarna.,"Saat gilirannya tiba, Johnny marah karena hanya tersisa satu warna.",Guru Johnny bertanya ada apa.,Johnny memberi tahu guru bahwa dia kesal karena tidak mendapatkan lebih banyak warna.,Johnny memberi tahu gurunya bahwa dia bahagia.
Brendon dulu bekerja dengan mike.,Suatu hari Mike memindahkan kursinya saat dia berdiri.,Dia pergi untuk duduk dan jatuh.,Mike tidak bisa menahan tawa di situs itu.,Brendon marah karena kesakitan yang parah.,Brendon tidak percaya dia basah kuyup.
Tom suka menggembalakan ternak.,Dia melakukannya setiap hari.,Suatu hari seekor sapi bebas.,Dia mencari kemana-mana.,Dia menemukan sapi itu dan membawanya kembali.,"Dia memperhatikan sapi di ladang tetangga, mengabaikannya, dan pergi."
Keluarga Gina berhenti di jalan raya.,Gina keluar dan meregangkan kakinya.,Di halte ada pom bensin dan Burger King.,Gina biasanya tidak menyukai kentang goreng Burger King.,Gina sangat lapar sehingga kentang gorengnya terasa enak kali ini.,Gina berjalan di jalan raya tanpa keluarganya.
Nick mengajak anjingnya jalan-jalan Sabtu lalu.,"Selama berjalan, anjingnya melihat beberapa anjing lainnya.","Dia tidak tersosialisasi dengan baik, jadi dia mulai menggonggong pada mereka.",Itu adalah pengalaman yang panjang dan menyakitkan bagi mereka berdua.,Nick memutuskan untuk membawa anjingnya ke pelatih.,Sam sangat terhibur dengan perilaku anjingnya.
Ted dan beberapa temannya pergi ke danau pada suatu sore.,Teman-teman Ted terus memintanya untuk masuk ke air bersama mereka.,Ted tidak tahu cara berenang.,"Ted memutuskan tidak ada waktu yang lebih baik untuk belajar, jadi dia melompat.",Ted hampir tenggelam tetapi diselamatkan oleh teman-temannya.,Ted merasa sangat kering.
Charles senang bertemu dengan seorang eksekutif perusahaan rekaman di Facebook.,Charles diminta untuk menulis tentang artis eksekutif.,"Eksekutif itu mengiyakan, selama ceritanya dipublikasikan.",Majalah Vibe menawarkan untuk menerbitkan cerita tentang spekulasi.,Itu adalah awal dari hubungan yang bermanfaat bagi Charles.,Eksekutif sangat marah atas apa yang terjadi.
Sai biasanya membenci hari-hari berfoto di sekolah.,Mereka membosankan dan dia tidak pernah terlihat sebaik anak-anak lain.,"Untuk mencoba dan membantu Sai merasa lebih baik, ibunya membelikannya sweter baru.",Sai mengenakan sweter untuk memotret hari dan mendapat banyak pujian.,Sal merasa luar biasa.,Sal merasa busuk.
Abby dan Tammy adalah sahabat karib.,Mereka berdua suka melakukan hal-hal bersama yang menyenangkan dan kreatif.,Mereka memutuskan untuk membuat gelang persahabatan bersama dan memberikannya kepada orang lain.,Abby membuat lima dan Tammy membuat tujuh lagi.,Mereka memutuskan untuk menyimpan gelang itu sendiri.,Tammy tidak pernah berbicara dengan Abby lagi.
Lina pergi untuk melihat bagaimana permen tongkat dibuat.,Dia menyaksikan para pekerja menambahkan pewarna ke permen panas.,"Kemudian, mereka merentangkannya agar berkilau.","Akhirnya, mereka membentuknya menjadi tongkat dan membiarkannya dingin.",Lina merasakan apresiasi baru terhadap permen tongkat.,Lina sekarang tahu bahwa permen tongkat itu membosankan.
Alyssa mendapat kopi dalam perjalanan ke kantor.,Dia minum kopi saat dia mengemudi.,"Tiba-tiba, dia harus segera menghentikan mobilnya.","Kopi tumpah ke seluruh pangkuannya, membuat kakinya panas.",Dia hampir mengalami kecelakaan saat dia berteriak kesakitan.,Dia tertawa saat dia terus mengemudi ke tempat kerja.
Lou sedang diet.,Dia makan sangat sedikit.,Tapi dia masih berjuang untuk menurunkan berat badan!,Kemudian dia menambahkan rejimen olahraga.,Lou akhirnya bisa menurunkan berat badan.,Lou memutuskan dia sudah cukup menurunkan berat badan.
Billy ingin menjadi seorang dokter.,Dia kuliah untuk menjadi seorang dokter.,"Setelah dia lulus dengan gelarnya, dia berubah pikiran.","Billy menjadi perawat, bukan dokter.",Dia tidak pernah menyesali keputusannya.,"Dia sangat tertekan, dia menjadi pecandu alkohol."
Whit punya anjing.,Itu tidur sepanjang waktu.,Ia tidak hanya tidur seperti anjing biasa.,Mendengkur seperti manusia.,Sedikit pun tidak bisa tidur nyenyak.,Putih tidak.
Chester memutuskan untuk pergi ke mal suatu sore.,"Dia tidak berniat membeli apapun, tapi hanya ingin berjalan-jalan.","Namun, dia melihat kemeja yang sangat bagus sedang diobral.",Chester membeli kemeja tersebut karena harganya yang sangat bagus.,Chester sangat senang dengan kemeja yang dibelinya.,Chester segera membuang kemeja yang dibelinya.
Sam pindah ke Los Angeles untuk menjadi bintang film.,Dia tidak punya banyak uang tetapi dia pikir pergi adalah satu-satunya cara.,"Setelah dua bulan, sam tidur di mobilnya dan bangkrut.",Suatu hari dia pergi ke teater Cina untuk mengemis.,Sam merasa sangat tertekan.,Sam merasa sangat berharap.
"Di perguruan tinggi, saya memiliki beberapa profesor yang buruk.",Mereka tidak tahu bagaimana cara mengajar siswa.,"Jadi, saya belajar untuk belajar sendiri.","Alih-alih pergi ke kelas, saya pergi ke perpustakaan dan melakukan hal itu.",Mengajar diri sendiri membantu saya unggul dari siswa lain.,Saya mencintai semua profesor saya.
Joe kuliah di perguruan tinggi untuk seni.,Dia lulus dengan gelar di bidang seni lukis.,Dia tidak bisa mendapatkan pekerjaan.,Dia kemudian menanggapi sebuah iklan di koran.,Lalu dia dipekerjakan.,Joe benci pizza.
Mark memulai pekerjaan baru keesokan harinya.,Dia gugup berada di dekat begitu banyak orang asing.,Dia hampir tidak tidur malam sebelumnya karena kecemasan.,Saat memasuki gedung ia disambut hangat oleh banyak orang.,Dia menyadari bahwa dia akan sangat cocok dengan pekerjaan baru itu.,"Dia dipecat pada hari yang sama, dan keluar dari gedung."
Amy memutuskan untuk pindah dari Wisconsin ke Florida.,Dia merencanakan kepindahan selama berbulan-bulan.,Pada hari pindah dia mengucapkan selamat tinggal kepada teman-temannya.,Dia pergi ke Florida sendirian.,Namun pengalaman itu tidak menyenangkan tanpa teman-temannya.,"Namun, dia menemukan Alaska sangat menyenangkan."
Tommy berusia 17 tahun saat dia mengecat rambutnya dengan warna pink.,Dia pikir itu punk dan keren.,Beberapa temannya setuju.,Orang tuanya menganggap itu bodoh.,Mereka menyuruh Tommy mencukur kepalanya.,Mereka menyukai tampilan baru yang dipilih Tommy.
Teresa adalah seorang seniman.,Dia membuat patung malaikat yang indah.,Dia memasukkannya ke dalam kontes seni.,Para juri sangat menyukai patung itu.,Dia memenangkan kontes dan bangga pada dirinya sendiri.,Dia didiskualifikasi dari kontes.
Wendy membeli minyak mandi secara online.,Dia salah membaca petunjuk dan menerapkannya ke seluruh tubuhnya.,"Yang membuatnya ngeri, kulitnya berubah merah muda.",Dia segera mengeluh kepada perusahaan.,Perusahaan memberikan pengembalian uang penuh dan permintaan maaf kepada Wendy.,Wendy dengan senang hati membeli lebih banyak minyak mandi.
Saya bertemu suami saya untuk berada di Costco.,Dia menggambar tanduk di foto keanggotaan saya dan menggoda dengan liar.,"Saya tidak tahu mengapa saya mengatakan ya untuk berkencan, tetapi saya melakukannya.","Lima tahun kemudian, kami menikah.",Akhirnya kami punya anak.,Saya tidak mencintainya.
Fred adalah murid baru di kelas.,Dia benar-benar canggung dan dia mengalami masa-masa sulit.,Sepertinya tidak ada yang ingin berteman dengannya.,Kemudian saat makan siang seseorang makan bersamanya.,Fred berbicara dengan teman makan siangnya dan berteman.,Fred sangat populer.
Kaya perlu membeli gaun baru untuk Pesta Musim Semi mendatang.,Dia pergi ke mal bersama beberapa temannya.,Semua gadis bersenang-senang mengunjungi toko dan mencoba gaun.,Kaya menemukan gaun yang disukainya dengan warna koral yang bagus.,Itu agak mahal tapi dia memutuskan itu sepadan.,Dia tidak bisa menolak jadi dia membeli vas antik.
Amy sedang bermain di halaman belakang bersama teman-temannya.,Tiba-tiba dia melihat seekor ular kecil meluncur di lengannya!,"Dia menjerit dan lari, tapi tidak sebelum ular itu menggigit tangannya!",Amy ketakutan dan segera menelepon ambulans.,Ambulans merawat sepeda ularnya.,Ambulans membawanya ke kamar mayat untuk mati.
Saat itu musim gugur.,Halaman Todd penuh dengan dedaunan.,Dia memutuskan dia perlu mengumpulkan semuanya.,"Setelah selesai, dia memasukkan semuanya ke dalam tas.",Todd membuangnya ke tempat sampah.,Todd membuka tas dan menyebarkan daunnya ke sekeliling.
Don menyukai buku komik.,Dia secara konsisten mengumpulkan masalah dari cerita favoritnya.,"Seiring bertambahnya usia, kecintaannya pada komik tumbuh.",Dia memutuskan bahwa dia ingin memulai perusahaan buku komiknya sendiri.,Dia menamakannya Komik Don.,Don membuang komiknya ke tempat sampah.
Noah sedang bermain di rumah pohonnya.,Dia memutuskan untuk turun pada hari itu.,Tetapi kemudian dia melihat bahwa tangganya telah jatuh dan tergeletak di tanah!,Nuh tidak bisa turun dari rumah pohon!,Dia berteriak untuk ayahnya.,Dia sangat senang.
Ibu tidak ingin memasak makan malam malam ini.,Kami semua sangat lapar.,Dia menyuruh kita menjaga diri kita sendiri.,Kami makan sereal dingin untuk makan malam malam ini.,Kami semua sangat kesal.,Itu adalah makanan terbaik yang pernah kami makan.
Greg sedang bermain bola sendirian.,Dia bosan.,Dia menginginkan teman-temannya.,Teman-temannya datang.,Mereka bermain bola sepanjang sisa sore itu.,Greg lebih bosan dari sebelumnya.
"Pada hari Minggu, Tori mengetahui dia hamil!",Dia segera menelepon suaminya untuk membagikan kabar baik.,Suami Tori sama bersemangatnya.,Keduanya berdiskusi tentang nama bayi selama hampir setengah jam.,Mereka akhirnya memutuskan satu nama laki-laki dan satu nama perempuan.,Tori harus menjalani terapi karena dia sangat kesal.
Ann menyukai kue.,Setiap hari Sabtu dia akan berjalan di dekat toko roti.,Ann senang melihat kue-kue yang indah.,Suatu hari seorang wanita memintanya untuk masuk.,Ann masuk dan melihat kue sedang dibuat.,Ann merasa terhina dengan tawaran wanita itu.
Bill ingin menurunkan berat badan.,"Dia telah mencoba selama Bertahun-tahun, tetapi kurang inisiatif.",Dia akhirnya berhenti bersikap keras pada dirinya sendiri.,"Tumbuh dalam kepercayaan diri, dia mencapai tujuannya setiap minggu.",Dia akhirnya turun ke berat badan idealnya.,Setelah sebulan dia menyerah.
Kedua anak saya pulang dari perguruan tinggi pada bulan Desember.,Kami memutuskan untuk menikmati liburan musim dingin yang menyenangkan bersama.,"Kami membuat kue, mendekorasi rumah dan pergi berbelanja bersama.",Kami juga membuat beberapa hadiah Natal.,Saya bersenang-senang dengan anak-anak saya saat pulang dari perguruan tinggi.,Saya tidak memiliki musim liburan yang baik.
Karen dan Diane telah berteman baik sejak kecil.,"Sekarang siswa sekolah menengah atas, mereka mulai memikirkan tentang perguruan tinggi.",Mereka berdua melamar Cornell dan berencana untuk satu kamar bersama.,"Karen diterima tetapi Diane tidak, yang sulit bagi mereka berdua.","Itu sulit, tetapi mereka setuju untuk berpisah.",Diane memutuskan dia membenci Karen lebih dari sebelumnya.
Saya membeli mobil baru hari ini.,Itu mengkilat dan merah.,Bagian dalamnya berbau segar dan bersih.,Saya sangat menyukai mobil itu.,Saya mengemudikan mobil kemanapun saya pergi.,Saya memutuskan untuk menyingkirkan mobil.
Jaclyn datang untuk bergaul dengan pacar Robs.,Jaclyn dan Rob tidak akur.,Rob berusaha sangat baik untuk menjaga perdamaian dan bersikap baik.,Jaclyn terus mengatakan komentar dan komentar yang sangat sinis,Rob akhirnya pergi untuk bergaul dengan teman-temannya.,Rob sangat senang menghabiskan waktu bersama Jaclyn.
Neil telah melakukan perjalanan melalui Asia.,Sekarang dia telah bekerja jauh ke selatan menuju Australia.,Neil sangat senang melihat budaya Australia.,Dia sangat senang dengan prospek hewan dan manusia yang eksotis!,Momen favoritnya adalah ketika dia memberi makan bayi beruang koala.,Dia selalu ingin berselancar di bawah matahari California.
Jane menginginkan rambut panjang.,Jadi dia membiarkannya tumbuh selama berbulan-bulan.,Tetapi menjadi sulit untuk diurus.,"Dan saat sedang musim panas, rambutnya yang panjang membuatnya kepanasan.",Jane memutuskan untuk memotong pendek rambutnya selama musim panas.,Jane menyukai rambut panjangnya dan memanjangkannya lebih lama lagi.
Orang tua kami membawa kami ke Paragon Park pada tahun 1963.,Kami naik feri dari Rowes Wharf di Boston.,"Kami mengendarai komidi putar, cambuk, dan ulat.",Kami bermain skeeball.,Kami memiliki banyak kenangan indah dari perjalanan masa kecil ini.,Saya tidak ingat pergi ke Paragon Park.
Saya dan kelas saya pergi untuk karyawisata.,"Saat kami berkendara ke lokasi, bus kami mogok.",Kami semua menunggu bus lain muncul untuk menjemput kami selama satu jam.,"Ketika bus tiba, kami semua naik dan melanjutkan perjalanan.",Karyawisata ini berjalan dengan sangat baik seperti yang kami harapkan.,"Bus tidak pernah tiba, dan kami ketinggalan karyawisata."
