Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Cahaya putih perlahan memasuki celah mataku. ,Kepalaku terasa sakit.,Butuh beberap menit sampai aku benar-benar bisa melihat dengan baik.,"Tangan kiriku di infus, dan akhirnya aku tahu sedang berada dimana.","""Kau sudah bangun?"" Terdengar suara dari sebelah kanan ranjangku.","""tolongg... aku diculikk"" teriak seseorang dari sebelahku."
Raisa kesal sekali pada Beno,Mereka berdua mengikuti perlombaan sebagai satu kelompok,"Akan tetapi, sejak tahap pertama Beno kerja malas-malasan","Saat final pun, hanya Raisa yang melakukan presentasi dan menjawab pertanyaan juri","Namun, Beno meminta hadiah kemenangan lomba dibagi dua dengan merata",Beno mendapat penghargaan sebagai peserta terbaik
Fio harus mengikuti masa orientasi di sekolahnya,Fio menjadi korban perpeloncoan,Senior Fio yang menjadi pelaku mendapat sanksi dari sekolah,Fio sempat melawan perintah seniornya,Fio bukan junior yang tunduk begitu saja,Fio menurut saat perpeloncoan terjadi
Hari ini SMA Harapan kedatangan siswa program pertukaran pelajar,Pertukaran pelajar ini hanya berlangsung selama satu minggu,Siswa program pertukaran pelajar kali ini datang dari Jepang,Siswa pertukaran pelajar tidak bisa berbicara dengan Bahasa Indonesia,Untunglah mereka bisa saling berkomunikasi dengan Bahasa Inggris meski tidak fasih,Siswa pertukaran pelajar ingin pulang hari itu juga
Januko telah mengikuti les renang sejak umur 5 tahun.,Januko berbakat.,Guru les renangnya tahu itu dan mendukung Januko mengikuti berbagai kompetisi.,Januko sering menjadi juara.,Januko pun tumbuh besar dengan mencintai renang dan bercita-cita ingin menjadi atlet renang.,Januko pun tumbuh besar dengan mencintai basket.
Gibran merasa terbebani.,Ia menjadi wakil satu-satunya dari sekolah untuk mengikuti Olimpiade Fisika tingkat Provinsi.,"Tentunya sekolah berharap Gibran bisa lolos, bahkan menjadi juara, sampai ke tingkat Nasional.",Namun Gibran terus memikirkan betapa ia tidak percaya diri.,"Pak Anta, guru pendamping Gibran, mengetahui kegelisahan Gibran dan berusaha menenangkannya.","Pak Anta, guru pendamping Gibran, tidak suka terhadap Gibran."
Cokki menunduk lesu menatap sepatunya.,Bagian ujung depan sepatunya terbuka lebar.,Sepatu Cokki telah rusak.,Lubang yang tadinya kecil baru saja membesar akibat sepatunya menggesek aspal.,Hal itu terjadi karena Cokki terjatuh saat berlari di jam pelajaran olahraga.,Hal itu terjadi karena Cokki tertawa terbahak-bahak.
Marsel terkenal sebagai anak yang tidak pernah berhenti berbicara saking ramainya.,"Suatu ketika, Marsel tidak bersikap seperti biasanya.",Anto bertanya kepada Marsel apakah ada sesuatu.,"Tiba-tiba Marsel bernyanyi lagu Selamat Ulang Tahun, diikuti teman-teman Anto yang datang membawakan kue.","Anto mengemplang Marsel kesal sambil tertawa, karena semua itu terjadi di saat guru pelajaran terakhir belum keluar dari kelas.",Anto mengajak Marsel pindah sekolah.
Setiap hari Mamat memasak untuk adiknya,Mamanya selalu sibuk dengan pekerjaan ,Sementara adiknya tidak suka makanan cepat saji,Biasanya Mamat memasak makanan yang sederhana,Ia paling sering memasak nasi goreng dan sup ayam,Memasak menggunakan kompor listrik lebih aman
Seharian ini Acha panik.,Acha khawatir dengan keadaan Bapak.,Mendengar betapa lemasnya Ibu tadi di telepon membuat Acha semakin khawatir.,Acha juga bingung memikirkan dari mana ia bisa mendapatkan uang untuk biaya operasi Bapak.,Obrolan Arta dan Wendy yang duduk di depannya mengenai jumlah uang patungan kelas yang terkumpul memberikan Acha ide.,Obrolan Arta dan Wendy membuat Acha mengantuk.
Nevan menyukai warna hijau,Tembok kamar Nevan sama dengan warna kesukaannya,Nevan tidak menyukai warna hitam,Mobil ayah Nevan berwarna hitam,Tembok kamar Nevan berwarna hijau,Nevan menyukai warna mobil milik ayahnya
Wina menggunting sendiri rambutnya yang telah lebih panjang dari biasanya.,Rambut sepunggung Wina kini telah hilang.,Wina terlihat berbeda dengan potongan rambut seleher ditambah poni lurus di atas alis.,Sudah lama Wina ingin mencoba gaya rambut pendek dengan poni.,Baru sekarang Winda punya keberanian untuk benar-benar mewujudkannya.,Baru sekarang Wina ingin pergi ke salon untuk potong rambut.
"Setelah Ayah pergi, Ibu adalah tulang punggung keluarga",Ia harus bekerja dengan keras,Aku merasa sangat ingin membantu,Tapi Ibu bilang tugasku belajar,Aku belajar dengan sungguh-sungguh,Ibu menyuruhku berhenti sekolah
Nala ingin memiliki keluarga yang harmonis,Nala tidak menyukai kondisi keluarganya saat ini,Nala hanya mendengar pertengkaran kedua orang tuanya setiap hari,Nala ingin pergi dari rumahnya,Nala memiliki keluarga yang tidak harmonis,Ayah dan Ibu Nala saling menyayangi
Alta tidak dapat membedakan warna merah,Alta memiliki kelainan sejak ia kecil,Alta sedih dengan kelainan yang ia derita,Alta tidak dapat melihat warna dengan jelas,Alta mengidap penyakit buta warna,Alta seorang pelukis yang paham berbagai macam warna
Siapa yang tidak kenal Melly Goeslaw,Beliau merupakan salah satu komposer terkenal di Indonesia,Telah banyak lagu-lagu yang ia ciptakan mewarnai berbagai film layar lebar di Indonesia,"Contohnya saja, film Ayat-Ayat Cinta, dan Ada Apa Dengan Cinta",Lagu-lagu ciptaan Melly banyak digandrungi berbagai kalangan,Lagu-lagu ciptaan Melly tidak begitu disukai oleh anak-anak
Hyna menerima sebuah hadiah,Hyna mendapatkan surat,Hyna menemukan cokelat yang ditunjukkan untuknya,Hyna tidak mengetahui siapa yang memberikan semua barang tersebut,Hyna memiliki pengagum rahasia,Hyna mencuri cokelat dari kantin
Sita bekerja sebagai perawat di rumah sakit,Sita bekerja tanpa mengenal lelah,Sita merawat pasiennya dengan penuh kasih,Sita rela mengorbankan waktu tidurnya untuk mereka,Sita menikmati pekerjaannya,Sita bermalas-malasan ketika bekerja
Elena menjemput adiknya menggunakan motor.,Adiknya berada di rumah temannya untuk kerja kelompok.,Rumah teman adiknya dilewati oleh Fiona dalam perjalanannya menuju rumah.,Fiona baru saja selesai mengikuti pendalaman materi di sekolah.,Adiknya telah menunggu di depan rumah temannya ketika Fiona sampai.,Adiknya telah menunggu di dalam kamar Fiona.
"""Tahan sedikit, paling sebentar lagi dia juga sadar kesalahannya"" ucap salah seorang anggota divisi yang sama denganku.",Sesungguhnya aku tidak bisa berlama-lama memendam kemarahan.,"Namun karena laki-laki itu adalah ketua divisi-ku, maka aku harus sedikit menghormatinya.","""lihat saja jika sekali lagi ia berkata seperti itu, akan aku hajar habis-habisan!"" ucapku sambil mengacungkan kepalan tangan.","""jangan cari gara-gara yuna, kau bisa-bisa tidak dapat sertifikat"" Lagi-lagi ada suara yang mencoba menghentikanku.",Ia datang bersama kedua orang temannya yang juga membenciku.
Deni sangat suka bereksperimen dengan tali sepatu,Ia memiliki berbagai warna tali sepatu,Ia juga belajar macam-macam style tali sepatu,"Walaupun hanya memiliki satu sepatu, ia sering mengganti model tali sepatunya","Oleh karena itu, Deni seperti memiliki banyak sepatu",Sepatu yang kotor bisa dicuci dengan disikat
Designer merupakan seseorang yang kreatif,Kiara sangat kreatif dan kritis dalam berkarya,Kiara ingin menjadi seorang designer,Kiara dapat membuat model baju yang ia imajinasikan,Kiara dapat menjadi designer terkenal,Kiara tidak tertarik pada bidang seni
Riska sedang menonton film dengan genre action,Riska selalu menonton film dengan laptopnya,Riska berlangganan aplikasi Netflix,Riska sangat suka menonton Film,Riska menonton film di laptopnya dengan aplikasi Netflix,Riska pergi ke bioskop
Salah memilih produk perawatan wajah menjadi petaka untuk Rena,Wajahnya kini memerah seperti terbakar,Wajah Rena juga kini semakin berjerawat,Rena memutuskan untuk pergi ke dokter kulit,Dokter kulit memberikan Rena obat agar cepat sembuh,Rena ingin mengoperasi wajahnya
Tania merasa kesepian,Ayah Tania memberikan sebuah hadiah kepada Tania,Tania menerima hadiah tersebut dengan bahagia,Ayah Tania membeli hadiah di pet shop,Tania mendapatkan seekor kucing yang lucu,Ayah Tania tidak peduli sama sekali dengan anaknya
Frannisa menyukai makanan fast food,Kakak Frannisa tidak mau membelikan makanan,Frannisa membujuk kakaknya,Frannisa dimarahi kakaknya,Kakak Frannisa tidak memiliki uang,Frannisa dibelikan burger oleh kakaknya
Hari ini aku tidak bersemangat,Kucingku hilang,Entah dia pergi kemana,Padahal semalam aku masih melihatnya,Kemarin adalah hari terakhirku melihatnya,Kucingku sedang di rawat di rumah sakit hewan
Zulfa ingin meraih kedudukan yang tinggi,Zulfa menghalalkan segala cara,Zulfa menyingkira setiap orang yang menghalanginya,Zulfa berhasil mencapai puncak tertinggi di karirnya,Zulfa melakukan kecurangan dan bersikap licik,Zulfa sangat jujur dalam berkarya
"Liburan kemarin, aku menghabiskan waktu bersama keluarga",Kami pergi ke kampung halaman ayah,Pemandangan di sana sangat indah,"Udaranya segar, suasananya pun tenang",Liburanku sangat menyenangkan,Aku tidak betah ingin segera pulang
Ron adalah teman dekatnya Ani,Baru-baru ini mereka bersiteru dan tidak lagi berkomunikasi,Ani sepertinya kecewa dengan Ron karena sering mengabaikan dirinya,Ron pun bingung dengan situasi seperti ini,Ron dan Ani kini tidak lagi berteman,Ron dan Ani berencana menikah bulan depan
Yori menemukan banyak barang tak terpakai di gudang,Yori menyarankan kepada ibu untuk menjual barang tersebut,Ibu menyetujui saran Yori,Yori mengadakan promo cuci gudang di depan rumahnya,Yori memiliki jiwa pengusaha dan bisnis,Yori malas membantu ibu membersihkan gudang
Jala mencari cincin pertunangannya,Jalan sebelumnya meletakkan di atas meja,Sekarang cincin tersebut raib,Jala tidak dapat menemukan cincinnya,Jala melaporkan kehilangan cincin tersebut kepada polisi,Jala tidak pernah bertunangan sebelumnya
Ibu mengantuk,Ibu pergi ke pasar,Ibu membeli kue,Kue ibu jatuh di jalan,Ibu tertidur saat perjalanan pulang,Ibu tidur di kamarnya
Agnes akan selalu menunggu datangnya kereta tiba,Agnes tidak pernah menyerah menanti kepulangan kekasihnya,Agnes selalu berharap kekasihnya akan pulang,Kabar tersiar bahwa kekasih Agnes sudah gugur di medan perang,Agnes tidak akan pernah bertemu kekasihnya lagi,Agnes menjemput kekasihnya di stasiun kereta
Ariel pergi merantau untuk bekerja,Ariel hidup di asrama untuk mengurangi pengeluaran,Banyak aturan asrama yang harus Ariel patuhi,Ariel hidup di asrama sampai masa dinasnya usai,Ariel dapat beradaptasi dengan kehidupan asramanya,Ariel tinggal di rumahnya sendiri
Aini tidak percaya dengan ramalan bintang,Aini memiliki bintang zodiak Scorpio,Zodiak Scorpio akan mendapatkan hadiah pada bulan ini,Aini tidak mendapatkan hadiah pada bulan ini,Ramalan bintang tidak terbukti,Aini percaya ramalan bintang akan terjadi
"Setiap akhir pekan, Jimmy menonton acara kompetisi memasak",Kompetisi tersebut membuat Jimmy tertarik untuk belajar memasak,Jimmy memulai dari resep yang paling sederhana,Terkadang ia meminta sahabat-sahabatnya mencicipi masakannya untuk mendapatkan masukan,"Walaupun terkadang masakannya gagal, Jimmy tidak pernah berhenti mencoba",Sahabatnya diam-diam ikut kompetisi masak
Juliyan baru saja mendapatkan jaket almamater,Juliyan memiliki jaket resmi dari organisasi ,Juliyan juga memiliki jaket dari himpunan di fakultasnya,Juliyan meletakkan semua jaketnya di dalam lemari,Juliyan meletakkan jaket almamaternya di dalam lemari,Juliyan menggantung jaket himpunanya di depan kamar
Fidy ingin mencari tambahan uang saku,Fidy bekerja di sebuah tempat bimbingan belajar,Fidy mendapatkan gaji untuk tambahan uang sakunya,Orang tua Fidy bangga melihat Fidy,Fidy tidak meminta uang saku lagi dari orang tuanya,Fidy selalu meminta uang dari orang tuanya
"""Sudah terlalu lama ya?"" Tanya-nya kaku.","""Iya, terlalu lama"" jawabku.","""Aku mempersiapkan diri"" Ia menunduk, mungkin merasa bersalah.","""Kenapa tidak memberitahu?"" Aku memalingkan mata ke arah danau dan sama sekali tidak menatap wajahnya.","""Aku tidak ingin kau terbebani"" kali ini ia mengangkat wajahnya dan menatap kearahku.",Ia pergi menggunakan motor kesayangannya.
Siswa kelas 3 SD Harapan mengenal Rendi sebagai anak yang nakal,Ia suka mengganggu dan berisik saat jam pelajaran,"Namun, wali kelasnya tidak pernah memarahi Rendi",Ia tahu Rendi sebenarnya anak yang pintar,"Hanya saja, Rendi kekurangan kasih sayang orangtuanya","Namun, Rendi tidak suka pelajaran fisika"
Isa dan Rana pergi ke kedai minuman,Rana mengajak Rani membeli minuman baru,Rani yang baru datang berkenalan dengan Isa,Isa mengajak Rana menjadi sahabat mereka,"Isa, Rana, dan Rani ada di satu restoran yang sama",Rani dan Rana sedang berada di toko buku
Hario memiliki hobi merokok,Sekolah Hario melarang muridnya merokok di sekolah,Hario membawa rokoknya di sekolah,Terdapat pemeriksaan mendadak di sekolah Hario,Hario mendapatkan hukuman karena ketahuan merokok,Hario adalah anak teladan yang tidak merokok
Jesika menyapu lantai 1 dan 2 rumahnya.,"Sementara kakak Jessika, Rolan, akan mengepelnya saat Jessika selesai menyapu.",Mereka sudah terbiasa membagi tugas perkara pekerjaan rumah tangga.,"Memasak menjadi tugas Jessika, dan mencuci piring dikerjakan Rolan.","Mencuci baju juga dikerjakan oleh Rolan, baru setelah kering Jessika yang menyetrikanya.",Mencuci baju dan menyetrika bukan urusan Jessika atau Rolan.
Bella menjalani rumah tangganya dengan bahagia,Bella tidak ada masalah apapun dengan suaminya,Sampai suatu hari sikap suaminya berubah,Bella mulai merasakan prahara di dalam rumah tangganya,Bella tidak lagi bahagia dalam rumah tangganya,Bella merubah sikap kepada suaminya
Naik-Naik Ke Puncak Gunung adalah lagu favorit Cissa.,Cissa suka sekali menyanyikan lagu tersebut.,Apalagi di saat sedang berlibur seperti sekarang.,Cissa dan keluarganya berwisata ke Puncak naik bus.,"Sepanjang perjalanan, terdengar suara ceria Cissa melantunkan lagu favoritnya.","Sepanjang perjalanan, terdengar suara Cissa yang mengigau dalam tidur."
Erasma senang memecahkan misteri,Erasma dan Cian adalah sepasang sahabat,Cian lihai memecahkan teka-teki,Erasma ahli dalam menemukan sesuatu,Erasma dapat melacak jejak yang ditemukan,Erasma malas memikirkan sesuatu yang bukan urusannya
Ivan berpikir mengenai prospek kerjanya selama setahun ke depan,Ivan merupakan lulusan baru PTN tanpa pengalaman,Perusahaan butuh seseorang yang berpengalaman,Ivan berhasil diterima di perusahaan tersebut,Ivan memiliki koneksi di perusahaan,Ivan hanya memiliki ijazah SMA
Pandemi melumpuhkan banyak sektor industri,Buruh pabrik tidak mendapatkan THR karena keuangan perusahaan tidak baik,Galang tidak mendapatkan THR,Galang harus menerima nasib tidak bisa mengirimkan uang kepada keluarganya,Galang adalah buruh pabrik,Galang memberikan THR untuk anak buahnya
Iffy menyimpan rindu pada sahabatnya,Iffy tidak pernah jujur pada dirinya sendiri,Iffy selalu mengingkari hatinya,Iffy berpura-pura senang ketika sahabatnya menceritakan gadis yang disukainya,Iffy menyukai sahabatnya,Iffy berpacaran dengan sahabatnya sendiri
Devan menjadi tersangka kasus pembunuhan,Devan dibawa ke kantor polisi untuk diinterogasi,Devan menjawab semua pertanyaan dengan lancar,Devan senang dapat membalaskan dendamnya,Devan adalah pembunuh yang sebenarnya,Devan tdak mungkin menjadi seorang pembunuh
Layla hendak memberikan makan untuk bayi kecilnya,Layla tidak sempat memasak,Layla merasa bayinya sudah sangat kelaparan,Layla pergi ke sebuah stand makanan,Layla membeli bubur bayi untuk anaknya,Layla selalu memasak bubur bayinya di rumah
Pada hari Minggu paman Beni datang dari desa,Beliau membawa beraneka ragam buah-buahan sebagai buah tangan,"Ada semangka, durian dan salak yang dipetik langsung dari kebun",Tak ketinggalan pula buah nanas yang merupakan makanan favorit nenek,Paman Beni seorang tukang kebun di desanya,Paman Beni berjualan buah apel di desanya
Komplek Perumahan Harapan digegerkan dengan peristiwa semalam,Seorang pencuri motor yang selama ini meresahkan akhirnya tertangkap,Ia tertangkap setelah motor yang ia curi tersandung polisi tidur,Ternyata pelakunya adalah salah satu warga komplek tersebut,Warga beramai-ramai membawa pelakunya ke kantor polisi,Warga memukuli pelaku bersama-sama
Perhatianku tertuju pada anak-anak dipinggir sungai yang menjajakan ikan yang sepertinya hasil tangkapan mereka.,"""sepuluh ribu aja buk, satu kantong, ikan nya enak"" ucap salah seorang dari mereka yang sedikit menggigil karena bajunya basah.","""gak kurang lagi ni? ikan nya kecil, susah dibersihkan"" seorang ibu pengendara motor mencoba menawar ikannya.","""ah si ibu. gausah ditawar lagi lah. kasian adeknya"" tiba2 seorang berbaju putih abu-abu mengomentari.","Si ibu terdiam dan langsung membayar, mungkin merasa malu pada anak SMA yang pemikirannya sudah dewasa.",Si ibu bekerja di salah satu swalayan tidak jauh dari sungai.
Kura-kura peliharaan Dede dirawatnya dengan baik.,Setiap hari Dede selalu memberinya makanan.,Kura-kura tersebut adalah hadiah ulang tahun dari Ayah.,Sudah satu tahun berlalu sejak Dede memeliharanya.,Dede berharap kura-kuranya berumur panjang agar bisa terus menjadi teman mainnya.,Dede berharap kura-kuranya bisa berubah menjadi kura-kura ninja.
